"Ligands","Receptors","source","Organism"
"AT1G78680","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G78680","AT1G14040","STRING","Arabidopsis thaliana"
"AT1G78680","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G78680","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G78680","AT5G43350","STRING","Arabidopsis thaliana"
"AT1G78680","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G78850","AT3G14840","STRING","Arabidopsis thaliana"
"AT1G80133","AT3G28890","STRING","Arabidopsis thaliana"
"AT1G80133","AT5G27060","STRING","Arabidopsis thaliana"
"AT1G80133","AT3G05650","STRING","Arabidopsis thaliana"
"AT1G80133","AT1G07390","STRING","Arabidopsis thaliana"
"AT1G80170","AT4G26320","STRING","Arabidopsis thaliana"
"AT1G80170","AT3G13520","STRING","Arabidopsis thaliana"
"AT2G01270","AT1G24140","STRING","Arabidopsis thaliana"
"AT2G01270","AT2G45040","STRING","Arabidopsis thaliana"
"AT2G01270","AT1G59970","STRING","Arabidopsis thaliana"
"AT2G01270","AT3G08710","STRING","Arabidopsis thaliana"
"AT2G01270","AT1G70170","STRING","Arabidopsis thaliana"
"AT2G01270","AT4G16640","STRING","Arabidopsis thaliana"
"AT2G02100","AT3G11660","STRING","Arabidopsis thaliana"
"AT2G02130","AT3G24620","STRING","Arabidopsis thaliana"
"AT2G04025","AT4G26540","STRING","Arabidopsis thaliana"
"AT2G04160","AT4G15630","STRING","Arabidopsis thaliana"
"AT2G04160","AT4G15620","STRING","Arabidopsis thaliana"
"AT2G05520","AT1G21250","STRING","Arabidopsis thaliana"
"AT2G05520","AT5G19280","STRING","Arabidopsis thaliana"
"AT2G05920","AT1G70410","STRING","Arabidopsis thaliana"
"AT2G06850","AT5G44130","STRING","Arabidopsis thaliana"
"AT2G06850","AT4G12730","STRING","Arabidopsis thaliana"
"AT2G06925","AT3G17980","STRING","Arabidopsis thaliana"
"AT2G06925","AT3G15730","STRING","Arabidopsis thaliana"
"AT2G06925","AT1G55180","STRING","Arabidopsis thaliana"
"AT2G06925","AT5G58670","STRING","Arabidopsis thaliana"
"AT2G06925","AT3G03530","STRING","Arabidopsis thaliana"
"AT2G06925","AT3G53420","STRING","Arabidopsis thaliana"
"AT2G06925","AT4G35790","STRING","Arabidopsis thaliana"
"AT2G13542","AT4G05110","STRING","Arabidopsis thaliana"
"AT2G13542","AT4G05130","STRING","Arabidopsis thaliana"
"AT2G13542","AT4G05140","STRING","Arabidopsis thaliana"
"AT2G13542","AT4G05120","STRING","Arabidopsis thaliana"
"AT2G13820","AT4G37450","STRING","Arabidopsis thaliana"
"AT2G13820","AT3G01700","STRING","Arabidopsis thaliana"
"AT2G13820","AT1G68725","STRING","Arabidopsis thaliana"
"AT2G14610","AT5G15410","STRING","Arabidopsis thaliana"
"AT2G14610","AT2G19190","STRING","Arabidopsis thaliana"
"AT2G15230","AT2G31680","STRING","Arabidopsis thaliana"
"AT2G15230","AT4G35020","STRING","Arabidopsis thaliana"
"AT2G15230","AT1G05810","STRING","Arabidopsis thaliana"
"AT2G17230","AT1G47670","STRING","Arabidopsis thaliana"
"AT2G18660","AT4G11890","STRING","Arabidopsis thaliana"
"AT2G18660","AT1G35230","STRING","Arabidopsis thaliana"
"AT2G18660","AT4G23150","STRING","Arabidopsis thaliana"
"AT2G18660","AT4G23140","STRING","Arabidopsis thaliana"
"AT2G18660","AT2G32680","STRING","Arabidopsis thaliana"
"AT2G19010","AT2G19130","STRING","Arabidopsis thaliana"
"AT2G19020","AT5G16023","STRING","Arabidopsis thaliana"
"AT2G19040","AT5G16023","STRING","Arabidopsis thaliana"
"AT2G19045","AT2G19130","STRING","Arabidopsis thaliana"
"AT2G19050","AT2G36590","STRING","Arabidopsis thaliana"
"AT2G19050","AT2G19130","STRING","Arabidopsis thaliana"
"AT2G19060","AT2G19130","STRING","Arabidopsis thaliana"
"AT2G19150","AT2G19130","STRING","Arabidopsis thaliana"
"AT2G19500","AT1G27320","STRING","Arabidopsis thaliana"
"AT2G19690","AT2G07040","STRING","Arabidopsis thaliana"
"AT2G20750","AT1G16150","STRING","Arabidopsis thaliana"
"AT2G20875","AT5G07180","STRING","Arabidopsis thaliana"
"AT2G20875","AT4G17870","STRING","Arabidopsis thaliana"
"AT2G20875","AT5G60880","STRING","Arabidopsis thaliana"
"AT2G20875","AT1G63700","STRING","Arabidopsis thaliana"
"AT2G20875","AT2G26330","STRING","Arabidopsis thaliana"
"AT2G20875","AT1G80080","STRING","Arabidopsis thaliana"
"AT2G20875","AT5G62230","STRING","Arabidopsis thaliana"
"AT2G21100","AT2G35980","STRING","Arabidopsis thaliana"
"AT2G21110","AT2G21120","STRING","Arabidopsis thaliana"
"AT2G22420","AT5G51110","STRING","Arabidopsis thaliana"
"AT2G22860","AT5G53890","STRING","Arabidopsis thaliana"
"AT2G22860","AT2G02220","STRING","Arabidopsis thaliana"
"AT2G23000","AT3G06035","STRING","Arabidopsis thaliana"
"AT2G23000","AT5G19250","STRING","Arabidopsis thaliana"
"AT2G23540","AT4G03540","STRING","Arabidopsis thaliana"
"AT2G23540","AT4G20390","STRING","Arabidopsis thaliana"
"AT2G23540","AT1G03700","STRING","Arabidopsis thaliana"
"AT2G24560","AT3G28890","STRING","Arabidopsis thaliana"
"AT2G25110","AT5G48380","STRING","Arabidopsis thaliana"
"AT2G25110","AT5G20480","STRING","Arabidopsis thaliana"
"AT2G25110","AT2G31880","STRING","Arabidopsis thaliana"
"AT2G26440","AT2G40540","STRING","Arabidopsis thaliana"
"AT2G26870","AT5G53890","STRING","Arabidopsis thaliana"
"AT2G26870","AT3G15730","STRING","Arabidopsis thaliana"
"AT2G26870","AT5G64070","STRING","Arabidopsis thaliana"
"AT2G26870","AT1G79670","STRING","Arabidopsis thaliana"
"AT2G26870","AT1G17240","STRING","Arabidopsis thaliana"
"AT2G26870","AT1G17230","STRING","Arabidopsis thaliana"
"AT2G26870","AT5G09350","STRING","Arabidopsis thaliana"
