Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G78660->AT4G16640,214.4025255523889,16,rnaseq
gamma,0-0.5h,AT1G78670->AT3G09840,473.80976883764816,16,rnaseq
gamma,0-0.5h,AT1G78670->AT2G45040,254.14102515381575,16,rnaseq
gamma,0-0.5h,AT1G78670->AT1G65590,429.57190443494164,16,rnaseq
gamma,0-0.5h,AT1G78670->AT1G70170,336.1018175516107,16,rnaseq
gamma,0-0.5h,AT1G78670->AT1G14040,415.819224983852,16,rnaseq
gamma,0-0.5h,AT1G78670->AT1G24140,313.7818102283429,16,rnaseq
gamma,0-0.5h,AT1G78670->AT1G59970,370.45268580210865,16,rnaseq
gamma,0-0.5h,AT1G78670->AT5G43350,409.6866501698032,16,rnaseq
gamma,0-0.5h,AT1G78670->AT4G16640,230.60940091960225,16,rnaseq
gamma,0-0.5h,AT1G78680->AT3G09840,466.0332056485873,16,rnaseq
gamma,0-0.5h,AT1G78680->AT2G45040,244.63901348021147,16,rnaseq
gamma,0-0.5h,AT1G78680->AT1G65590,421.1619015745105,16,rnaseq
gamma,0-0.5h,AT1G78680->AT1G70170,326.54284772942003,16,rnaseq
gamma,0-0.5h,AT1G78680->AT1G14040,407.30540740259374,16,rnaseq
gamma,0-0.5h,AT1G78680->AT1G24140,304.12567806184484,16,rnaseq
gamma,0-0.5h,AT1G78680->AT1G59970,361.2507843390832,16,rnaseq
gamma,0-0.5h,AT1G78680->AT5G43350,401.25940487371025,16,rnaseq
gamma,0-0.5h,AT1G78680->AT4G16640,221.35341840617758,16,rnaseq
gamma,0-0.5h,AT1G78850->AT3G14840,476.2386211090088,16,rnaseq
gamma,0-0.5h,AT1G80133->AT3G28890,0.1790586114322135,16,rnaseq
gamma,0-0.5h,AT1G80133->AT5G27060,0.35093546449383317,16,rnaseq
gamma,0-0.5h,AT1G80133->AT3G05650,0.6681874509919977,16,rnaseq
