"Gene","Module","kME_MEblue","kME_MEturquoise","kME_MEgrey","IsHub"
"ATCG00040","turquoise",0.206078148571255,0.365348128408824,-0.0922495582360557,FALSE
"AT1G08380","turquoise",0.244742427165734,0.828413402791176,-0.0902951958325294,TRUE
"AT1G44575","turquoise",0.239082899221815,0.891793684481317,0.102964820888803,TRUE
"ATMG00020","turquoise",0.469246167342382,0.407232034485107,0.0943476618113789,FALSE
"AT1G12900","turquoise",0.279953694771368,0.894655604862049,0.111582738439771,TRUE
"AT3G08940","turquoise",0.5776898835938,0.593864557206251,-0.0426072416232555,FALSE
"AT1G30380","turquoise",0.330857289857869,0.811692070229597,0.0607434561708148,TRUE
"AT1G76180","blue",0.443372564152036,0.161135764357837,0.786449289343366,FALSE
"AT4G02770","turquoise",0.332754517975433,0.877805646665381,-0.0178789632773812,TRUE
"ATCG01130","turquoise",0.431767571622831,0.364640528667393,0.285872772155133,FALSE
"AT3G12780","turquoise",0.453308894462666,0.893916007460287,0.051289471991768,TRUE
"AT5G40450","blue",0.882661264389993,0.220914528265483,-0.022766737410766,TRUE
"AT1G75750","blue",0.790147276352177,0.179947263489614,-0.0287156730336356,TRUE
"AT4G21280","turquoise",0.34846572502352,0.884260115310226,0.0020741050398207,TRUE
"ATCG00630","turquoise",0.292874314746277,0.437076404053656,-0.106141613683989,FALSE
"AT2G30570","turquoise",0.300919673290887,0.821146054408644,-0.089523442021995,TRUE
"AT3G08580","turquoise",0.37651939031449,0.911216155379767,0.197311724226638,TRUE
"ATCG00450","turquoise",0.196059520632306,0.451113817448312,-0.256823496756084,FALSE
"AT5G49360","blue",0.772525564344974,0.1356678886102,-0.334233712778957,TRUE
"AT5G26000","turquoise",0.728728535597145,0.619911248311789,0.296835809376809,FALSE
"AT4G35090","blue",0.555598430767252,0.400926104572641,0.174544986815872,FALSE
"ATCG00550","turquoise",0.338404146786902,0.40002573443599,0.203502398668896,FALSE
"AT5G14740","blue",0.739243681265676,0.58122708855875,-0.0555341179497074,TRUE
"AT5G64040","turquoise",0.322721718438485,0.688854588719532,-0.0959547237764486,FALSE
"AT2G21330","turquoise",0.160942825905203,0.869187729114413,-0.0518682873496688,TRUE
"AT1G11860","turquoise",0.320020580101614,0.886005530902309,0.0940896520676571,TRUE
"AT4G35770","blue",0.605220634952953,-0.172697381648947,-0.0784461898394202,FALSE
"AT5G04140","turquoise",0.715608720818059,0.65891697215255,0.170236028040388,FALSE
"AT2G05100","turquoise",0.29188372242588,0.577368319506078,-0.0278152935880121,FALSE
"AT1G32060","turquoise",0.3446202328124,0.814618303427873,0.0233777091774391,TRUE
"AT1G56070","turquoise",0.481477908547174,0.855907132291466,0.17251913306322,TRUE
"AT3G56940","turquoise",0.477329731815551,0.736478230111261,-0.0127660942825905,TRUE
"AT3G07800","grey",0.164930220592964,0.0791369219885523,0.973310180719017,TRUE
