"gene_id","genotypeMYB3R135-genotypeWILDTYPE","genotypeSOG11-genotypeWILDTYPE","Time_After_Treatment_min10-Time_After_Treatment_min0","Time_After_Treatment_min1440-Time_After_Treatment_min0","Time_After_Treatment_min180-Time_After_Treatment_min0","Time_After_Treatment_min360-Time_After_Treatment_min0","Time_After_Treatment_min4320-Time_After_Treatment_min0","Time_After_Treatment_min45-Time_After_Treatment_min0","Time_After_Treatment_min720-Time_After_Treatment_min0","Time_After_Treatment_min90-Time_After_Treatment_min0","Radiation_Dose_cGy10-Radiation_Dose_cGy0","Radiation_Dose_cGy100-Radiation_Dose_cGy0","Radiation_Dose_cGy10000-Radiation_Dose_cGy0","Radiation_Dose_cGy40-Radiation_Dose_cGy0","Radiation_Dose_cGy80-Radiation_Dose_cGy0"
"AT1G08757","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08930","None","None","None","None","None","Down","Down","None","Down","None","None","None","None","None","None"
"AT1G08980","None","None","None","Down","None","None","None","None","None","None","None","None","None","None","None"
"AT1G08990","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G09053","None","None","Down","Down","Down","Down","None","Down","Down","Down","Up","Up","Up","None","None"
"AT1G09070","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G09080","None","None","Up","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09155","None","None","None","None","None","None","None","None","None","None","Up","Up","None","None","None"
"AT1G09176","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G09180","None","None","Down","None","None","None","None","Down","Down","None","None","None","Up","None","None"
"AT1G09200","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G09240","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G09310","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G09400","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09420","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09421","None","Up","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G09460","None","None","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G09570","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G09575","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G09647","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G09713","None","None","None","Down","None","None","None","Down","Down","None","None","None","None","None","None"
"AT1G09790","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09812","None","None","Down","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09815","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G09860","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09910","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09927","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G09930","None","Up","None","None","None","None","Down","Down","Down","None","None","None","Up","None","None"
"AT1G09932","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT1G09970","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G09995","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10000","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10040","None","None","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G10050","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G10070","None","Up","None","Down","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G10110","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10140","None","None","None","None","None","None","None","Up","Down","None","None","None","None","None","None"
"AT1G10150","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G10220","None","None","None","Down","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G10300","None","None","None","Down","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10340","None","None","None","None","None","None","None","None","Down","None","None","None","Up","None","None"
"AT1G10370","None","None","Up","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G10385","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10530","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G10540","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10550","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G10640","None","None","Up","None","None","Up","None","None","Up","None","None","None","Down","None","None"
"AT1G10657","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G10710","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10730","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10790","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G10875","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G10970","None","None","None","None","None","None","None","None","None","None","Up","None","None","None","None"
"AT1G10980","Up","None","None","None","None","None","None","Up","None","None","None","None","Down","None","None"
"AT1G10990","None","None","Down","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G11050","None","None","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G11070","None","Down","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G11090","Down","None","None","None","None","Up","None","None","None","None","None","None","None","None","None"
"AT1G11100","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11175","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G11185","None","None","None","None","None","Down","Down","None","Down","None","Up","None","None","None","None"
"AT1G11210","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G11220","None","None","None","None","None","None","None","None","None","None","None","None","Down","None","None"
"AT1G11260","None","None","None","None","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT1G11330","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G11362","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11370","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11460","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11490","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G11655","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G11700","None","None","None","None","None","Up","None","Down","None","None","None","None","None","None","None"
"AT1G11785","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11800","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G11960","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G11990","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G12010","None","Down","None","None","None","None","None","None","Down","None","None","None","None","None","None"
